|positive|,2019-02-10 ,b' Went through all 500 S&amp;P charts... here\xe2\x80\x99s a few I like plus a couple non-S&amp;P500 $AMZN $GOOGL $BA $ULTA $AAP $CLX\xe2\x80\xa6 https://t.co/SqhX2TzSNF',2.0

|neutral|,2019-02-10 ,b' Were Analysts Bullish Microsoft Corporation $MSFT This Week?  https://t.co/SPGha01xTv',0.0

|positive|,2019-02-10 ,"b' RT @theflynews: In an exclusive interview with The Fly, Stephens #analyst Jeff Cohen said ""Apex Legends"" is ""definitely"" #positive for EA.\xe2\x80\xa6'",4.0

|neutral|,2019-02-10 ,b' Quick review of weekly returns from 12 of the most traded stocks:  $AMD $AAPL $AMZN $FB $NFLX $GOOGL $MSFT $INTC\xe2\x80\xa6 https://t.co/4hzpEjUFae',0.0

|positive|,2019-02-10 ,"b' Cabot Wealth Management Boosted Abiomed $ABMD Stake By $866,121; Davidson Investment Advisors Lowered Microsoft\xe2\x80\xa6 https://t.co/mNtb3iY7eZ'",4.0

|neutral|,2019-02-10 ,"b' Maldoc Analysis of the Weekend, (Sat, Feb 9th) https://t.co/SKcB7Y0xdJ #security #malware #Office #Word $MSFT'",0.0

|negative|,2019-02-10 ,b' Microsoft Advises Its Users to Stop Using Its Legacy Internet Explorer Web Browser https://t.co/547NcYCPHH #security #internetexplorer $MSFT',-1.0

|positive|,2019-02-10 ,b' North Star Asset Management Has Raised Its Position in 3M Company $MMM by $4.46 Million as Valuation Declined; Corn\xe2\x80\xa6 https://t.co/KTZ1FwAfg8',2.0

|positive|,2019-02-10 ,b' $SNAP LOOKING GOOD TO HOLD ON FOR THE NEXT 12 MONTHS. $FB $AMZN $GOOG $GOOGL $MSFT  \xf0\x9f\x98\x8ePLAN For NEXT VACATION Now - Y\xe2\x80\xa6 https://t.co/K1ItsgWgZK',3.0

|neutral|,2019-02-10 ,"b' RT @GetInEarly: $FUSZD, The #NASDAQ Clock Is Ticking. Ringing the NASDAQ Bell This Month! Partnered with: $MSFT, $CRM, $ORCL, $FB, $SAP, $I\xe2\x80\xa6'",0.0

|neutral|,2019-02-10 ,"b' S&amp;Co Has Raised Its Parsley Energy Cl A $PE Stake by $643,220; As Microsoft $MSFT Market Value Declined, Loudon Inv\xe2\x80\xa6 https://t.co/zDleZnZQPd'",0.0

|neutral|,2019-02-10 ,b' $MSFT calls above $105.32 https://t.co/JNmyV90Hiq',0.0

|neutral|,2019-02-10 ,b' $MSFT high OI range is 101.00 to 107.00 for option expiration 02/15/2019 #maxpain #options https://t.co/wf7yR9oNdi https://t.co/99x9igUhwH',0.0

|neutral|,2019-02-10 ,b' Consolidating in TRADING RANGE LEVELS. 107.42 resistance for now. $MSFT https://t.co/I83IEE4I1b',0.0

|neutral|,2019-02-10 ,b' Hengehold Capital Management Has Decreased Microsoft $MSFT Stake by $1.51 Million as Stock Value Declined; Rush Ent\xe2\x80\xa6 https://t.co/dTPOxy0wLf',0.0

|negative|,2019-02-10 ,"b' Telos Capital Management Has Cut Microsoft $MSFT Position By $709,878; Yogaworks $YOGA Shorts Raised By 52.86% https://t.co/dfXwwBKa4R'",-1.0

